Title,Reference Number,DOI,First Author
Performance improvement of microbial fuel cells for waste water treatment along with value addition: A review on past achievements and recent perspectives,1,10.1016/j.rser.2017.05.098,C et al. (2017)
No Title,2,10.4018/978-1-5225-5766-1.ch014,Unknown Author(s) (No Year)
Conversion of wastes into bioelectricity and chemicals by using microbial electrochemical technologies,3,10.1126/science.1217412,L et al. (2012)
High performance platinum group metal-free cathode catalysts for microbial fuel cell (MFC),4,10.1149/2.0061703jes,K et al. (2017)
Denitrification of water in a microbial fuel cell (MFC) using seawater bacteria,5,10.1016/j.jclepro.2017.12.221,S et al. (2018)
Anode modification by biogenic gold nanoparticles for the improved performance of microbial fuel cells and microbial community shift,6,10.1016/j.biortech.2018.08.092,W et al. (2018)
Recent progress in electrodes for microbial fuel cells,7,10.1016/j.biortech.2011.07.019,W et al. (2011)
Performance improvement of microbial fuel cell (MFC) using suitable electrode and Bioengineered organisms: A review,8,10.1080/21655979.2016.1267883,C et al. (2017)
Applications of graphene in microbial fuel cells: The gap between promise and reality,9,10.1016/j.rser.2016.10.044,E et al. (2017)
In situ nitrogen-doping of nickel nanoparticle-dispersed carbon nanofiber-based electrodes: Its positive effects on the performance of a microbial fuel cell,10,10.1016/j.electacta.2015.12.191,M et al. (2016)
Application of advanced anodes in microbial fuel cells for power generation: A review,11,10.1016/j.chemosphere.2020.125985,C et al. (2020)
Assessment of Microbial Fuel Cell Configurations and Power Densities,12,10.1021/acs.estlett.5b00180,L et al. (2015)
Surface modification of microbial fuel cells anodes: Approaches to practical design,13,10.1016/j.electacta.2014.04.136,L et al. (2014)
Towards sustainable wastewater treatment by using microbial fuel cells-centered technologies,14,10.1039/C3EE43106A,L et al. (2014)
The effects of microbial fuel cell integration into constructed wetland on the performance of constructed wetland,15,10.1016/j.biortech.2015.05.072,S et al. (2015)
Improved microbial electrocatalysis with neutral red immobilized electrode,16,10.1016/j.jpowsour.2010.06.056,W et al. (2011)
Performance of single carbon granules as perspective for larger scale capacitive bioanodes,17,10.1016/j.jpowsour.2016.06.092,B et al. (2016)
Recent advances in the development and utilization of modern anode materials for high performance microbial fuel cells,18,10.1016/j.bios.2016.10.014,S et al. (2017)
Dual-Function Electrocatalytic and Macroporous Hollow-Fiber Cathode for Converting Waste Streams to Valuable Resources Using Microbial Electrochemical Systems,19,10.1002/adma.201707072,K et al. (2018)
Microbial formation of stable soil carbon is more efficient from belowground than aboveground input,20,10.1038/s41561-018-0258-6,S et al. (2019)
"Microbial fuel cells: The effects of configurations, electrolyte solutions, and electrode materials on power generation",21,10.1007/s12010-008-8516-5,L et al. (2010)
Activated carbon cloth as anode for sulfate removal in a microbial fuel cell,22,10.1021/es8003766,Z et al. (2008)
Novel porous molybdenum tungsten phosphide hybrid nanosheets on carbon cloth for efficient hydrogen evolution,23,10.1039/C5EE03801D,W et al. (2016)
Field and temperature dependence of intrinsic diamagnetism in graphene: Theory and experiment,24,10.1103/PhysRevB.91.094429,L et al. (2015)
Mechanical properties of nickel-graphene composites synthesized by electrochemical deposition,25,10.1088/0957-4484/26/6/065706,R et al. (2015)
Femtosecond transient absorption spectroscopy of laser-ablated graphite and reduced graphene oxide for optical switching behavior,26,No DOI,B et al. (2019)
Performance of non-porous graphite and titanium-based anodes in microbial fuel cells,27,10.1016/j.electacta.2008.03.032,H et al. (2008)
Harvesting energy from the marine sediment–water interface II: Kinetic activity of anode materials,28,10.1016/j.bios.2006.01.033,L et al. (2006)
Carbon nanotube modification of microbial fuel cell electrodes,29,10.1016/j.bios.2016.05.033,Y et al. (2016)
Binder-free graphene and manganese oxide coated carbon felt anode for high-performance microbial fuel cell,30,10.1016/j.bios.2016.02.051,Z et al. (2016)
No Title,31,No DOI,Unknown Author(s) (No Year)
Performance and recent improvement in microbial fuel cells for simultaneous carbon and nitrogen removal: A review,32,10.1016/j.jes.2015.12.006,S et al. (2016)
Generation of Electricity from Sewage Sludge Using Dual Chambered Microbial Fuel Cell Containing Copper as Electrodes,33,No DOI,P et al. (2017)
Influence of packing material characteristics on the performance of microbial fuel cells using petroleum refinery wastewater as fuel,34,10.1016/j.renene.2015.10.041,G et al. (2016)
Electrochemical Behavior of Anode-Respiring Bacteria on Doped Carbon Electrodes,35,10.1021/acsami.6b09907,Y et al. (2016)
A review on graphene–TiO2 and doped graphene–TiO2 nanocomposite photocatalyst for water and wastewater treatment,36,10.1080/21622515.2016.1264489,B et al. (2017)
"Doping graphene with boron: A review of synthesis methods, physicochemical characterization, and emerging applications",37,10.1039/C5TA10599D,A et al. (2016)
The developments of SnO2/graphene nanocomposites as anode materials for high performance lithium ion batteries: A review,38,10.1016/j.jpowsour.2015.11.017,D et al. (2016)
Graphene and polymer composites for supercapacitor applications: A review,39,10.1186/s11671-017-2150-5,G et al. (2017)
Graphene as a flexible electrode: Review of fabrication approaches,40,10.1039/C7TA05759H,T et al. (2017)
A graphene foam electrode with high sulfur loading for flexible and high energy Li-S batteries,41,10.1016/j.nanoen.2014.11.025,Z et al. (2015)
Hierarchical mesoporous SnO2 nanosheets on carbon cloth: A robust and flexible electrocatalyst for CO2 reduction with high efficiency and selectivity,42,10.1002/anie.201608279,L et al. (2017)
Microbial fuel cells: An overview of current technology,43,10.1016/j.rser.2018.09.044,S et al. (2019)
The use of date palm as a potential adsorbent for wastewater treatment: A review,44,10.1007/s11356-011-0709-8,A et al. (2012)
In situ fabrication of green reduced graphene-based biocompatible anode for efficient energy recycle,45,10.1016/j.chemosphere.2017.11.057,C et al. (2018)
Candle soot-derived carbon nanoparticles: An inexpensive and efficient electrode for microbial fuel cells,46,10.1016/j.electacta.2018.01.110,S et al. (2018)
Biomass derived activated carbon cathode performance for sustainable power generation from Microbial Fuel Cells,47,10.1016/j.fuel.2018.09.002,B et al. (2019)
Renewable Coffee Waste-Derived Porous Carbons as Anode Materials for High-Performance Sustainable Microbial Fuel Cells,48,10.1021/acssuschemeng.9b02405,H et al. (2019)
Graphene oxide synthesis using microwave-assisted vs. modified Hummer’s methods: Efficient fillers for improved ionic conductivity and suppressed methanol permeability in alkaline methanol fuel cell electrolytes,49,10.1016/j.jpowsour.2018.12.020,C et al. (2019)
A three dimensionally ordered macroporous carbon derived from a natural resource as anode for microbial bioelectrochemical systems,50,10.1002/cssc.201100783,C et al. (2012)
Biochar as a sustainable electrode material for electricity production in microbial fuel cells,51,10.1016/j.biortech.2014.01.058,H et al. (2014)
Tubular bamboo charcoal for anode in microbial fuel cells,52,10.1016/j.jpowsour.2014.08.115,Z et al. (2014)
In situ formation of graphene layers on graphite surfaces for efficient anodes of microbial fuel cells,53,10.1016/j.bios.2015.04.074,T et al. (2015)
High-capacity carbon-coated titanium dioxide core-shell nanoparticles modified three dimensional anodes for improved energy output in microbial fuel cells,54,10.1016/j.jpowsour.2014.10.035,T et al. (2015)
Conversion of sewage sludge into high-performance bifunctional electrode materials for microbial energy harvesting,55,10.1039/C5TA00458F,Y et al. (2015)
A hierarchically structured urchin-like anode derived from chestnut shells for microbial energy harvesting,56,10.1016/j.electacta.2016.07.077,C et al. (2016)
"N, P-doped mesoporous carbon from onion as trifunctional metal-free electrode modifier for enhanced power performance and capacitive manner of microbial fuel cells",57,10.1016/j.electacta.2017.12.164,L et al. (2018)
A Review Article of Nanoparticles; Synthetic Approaches and Wastewater Treatment Methods,58,No DOI,Y et al. (2019)
Microbial fuel cells: Advances in electrode modifications for improvement of system performance,59,10.1080/15435075.2017.1326049,N et al. (2017)
Single medium microbial fuel cell: Stainless steel and graphite electrode materials select bacterial communities resulting in opposite electrocatalytic activities,60,10.1016/j.ijhydene.2017.08.178,E et al. (2017)
Microbial fuel cells: From fundamentals to applications. A review,61,10.1016/j.jpowsour.2017.03.109,S et al. (2017)
Application of nano-electrode platinum (Pt) and nano-wire titanium (Ti) for increasing electrical energy generation in microbial fuel cells of synthetic wastewater with carbon source (acetate),62,No DOI,T et al. (2014)
"Silver nanoparticles: Various methods of synthesis, size affecting factors and their potential applications—A review",63,10.1007/s13204-020-01318-w,Y et al. (2020)
Non-PGM membrane electrode assemblies: Optimization for performance,64,10.1016/j.ijhydene.2015.05.185,S et al. (2015)
Interfacial electron transfer between Geobacter sulfurreducens and gold electrodes via carboxylate-alkanethiol linkers: Effects of the linker length,65,10.1016/j.bioelechem.2018.11.013,B et al. (2019)
Review Article on Applications and Classification of Gold Nanoparticles,66,No DOI,Y et al. (2019)
Electrically conductive polymers and composites for biomedical applications,67,10.1039/C5RA01851J,K et al. (2015)
Conductive “smart” hybrid hydrogels with PNIPAM and nanostructured conductive polymers,68,10.1002/adfm.201404247,S et al. (2015)
A review of electrical conductivity models for conductive polymer composite,69,10.1016/j.ijhydene.2016.03.045,R et al. (2017)
A comparative study for the characterization of polyaniline-based nanocomposites and membrane properties,70,10.1039/C4RA01040J,S et al. (2014)
No Title,71,10.1201/b22151-5,Unknown Author(s) (No Year)
A review of synthesis and morphology of SrTiO3 for energy and other applications,72,10.1002/er.4505,P et al. (2019)
"Synthesis, structural, and morphological characterizations of reduced graphene oxide-supported polypyrrole anode catalysts for improved microbial fuel cell performances",73,10.1021/sc500244f,K et al. (2014)
Influence of nitrogen environment on the performance of conducting polymers/CNTs nanocomposites modified anodes for microbial fuel cells (MFCs),74,No DOI,D et al. (2018)
Carbon nanotube-based nanocomposites and their applications,75,10.1080/01694243.2017.1295625,A et al. (2017)
No Title,76,10.3390/ma13030801,Unknown Author(s) (No Year)
No Title,77,10.3390/ma13030548,Unknown Author(s) (No Year)
Application of aluminum-alloy mesh composite carbon cloth for the design of anode/cathode electrodes in Escherichia coli microbial fuel cell,78,No DOI,C et al. (2013)
Progress in Rechargeable Aqueous Zinc-and Aluminum-Ion Battery Electrodes: Challenges and Outlook,79,No DOI,V et al. (2019)
Strategies for optimizing the power output of microbial fuel cells: Transitioning from fundamental studies to practical implementation,80,10.1016/j.apenergy.2018.10.015,C et al. (2019)
High-thermal-and air-stability cathode material with concentration-gradient buffer for Li-ion batteries,81,10.1021/acsami.7b14684,S et al. (2017)
Power generation using an activated carbon fiber felt cathode in an upflow microbial fuel cell,82,10.1016/j.jpowsour.2009.08.092,D et al. (2010)
Continuous bioelectricity production and sustainable wastewater treatment in a microbial fuel cell constructed with non-catalyzed granular graphite electrodes and permeable membrane,83,10.2166/wst.2010.140,T et al. (2010)
Carbon nanotube as an alternative cathode support and catalyst for microbial fuel cells,84,10.1016/j.apenergy.2012.06.003,G et al. (2013)
A monolithic three-dimensional macroporous graphene anode with low cost for high performance microbial fuel cells,85,10.1039/C5RA24718G,H et al. (2016)
"Transition metal (Fe, Co, Ni, and Mn) oxides for oxygen reduction and evolution bifunctional catalysts in alkaline media",86,10.1016/j.nantod.2016.09.001,O et al. (2016)
Benefits of using carbon nanotubes in fuel cells: A review,87,10.1002/er.3600,A et al. (2017)
Polyaniline networks grown on graphene nanoribbons-coated carbon paper with a synergistic effect for high-performance microbial fuel cells,88,10.1039/c3ta12947k,Z et al. (2013)
Antibacterial activity of graphene-modified anode on Shewanellaoneidensis MR-1 biofilm in microbial fuel cell,89,10.1016/j.jpowsour.2015.03.033,C et al. (2015)
High biocurrent generation in Shewanella-inoculated microbial fuel cells using ionic liquid functionalized graphene nanosheets as an anode,90,10.1039/c3cc42068j,Z et al. (2013)
Silver/iron oxide/graphitic carbon composites as bacteriostatic catalysts for enhancing oxygen reduction in microbial fuel cells,91,10.1016/j.jpowsour.2015.02.100,M et al. (2015)
Effect of nitrate on electricity generation in single-chamber air cathode microbial fuel cells,92,10.1016/j.cej.2017.12.150,H et al. (2018)
Electricity generation from sweet potato-shochu waste using microbial fuel cells,93,10.1016/j.jbiosc.2018.12.015,I et al. (2019)
Power generation using an activated carbon and metal mesh cathode in a microbial fuel cell,94,10.1016/j.elecom.2009.09.024,Z et al. (2009)
Investigation of PAH and oil degradation along with electricity generation in soil using an enhanced plant-microbial fuel cell,95,10.1016/j.jclepro.2019.02.212,Z et al. (2019)
Microbial fuel cells: Enhancement with a polyaniline/carbon felt capacitive bioanode and reduction of Cr (VI) using the intermittent operation,96,10.1007/s10311-017-0678-3,W et al. (2018)
Photo-assisted methanol oxidation on Pt-TiO2 catalysts for direct methanol fuel cells: A short review,97,10.1016/j.apcatb.2018.06.029,A et al. (2018)
Novel nanostructured electrocatalysts for hydrogen evolution reaction in neutral and weak acidic solutions,98,10.1016/j.ijhydene.2012.02.102,M et al. (2012)
No Title,99,10.3390/w12020495,Unknown Author(s) (No Year)
Performance evaluation of low-cost microbial fuel cell fabricated using earthen pot with biotic and abiotic cathode,100,10.1016/j.biortech.2009.07.089,B et al. (2010)
Evaluation of biocathodes in freshwater and brackish sediment microbial fuel cells,101,10.1007/s00253-010-2645-9,B et al. (2010)
Performance of microbial fuel cells based on the operational parameters of biocathode during simultaneous Congo red decolorization and electricity generation,102,10.1016/j.bioelechem.2019.04.019,H et al. (2019)
Review of high-performance biocathode using stainless steel and carbon-based materials in microbial fuel cell for electricity and water treatment,103,10.1016/j.ijhydene.2018.11.145,R et al. (2019)
L-Cysteine tailored porous graphene aerogel for enhanced power generation in microbial fuel cells,104,10.1039/C5RA09170E,Q et al. (2015)
Facile microwave-assisted synthesized reduced graphene oxide/tin oxide nanocomposite and using as anode material of microbial fuel cell to improve power generation,105,10.1016/j.ijhydene.2014.05.008,M et al. (2014)
Electrochemically exfoliated graphene anodes with enhanced biocurrent production in single-chamber air-breathing microbial fuel cells,106,10.1016/j.bios.2016.02.054,N et al. (2016)
Graphene/carbon cloth anode for high-performance mediatorless microbial fuel cells,107,10.1016/j.biortech.2012.02.116,L et al. (2012)
Layer-by-layer construction of graphene-based microbial fuel cell for improved power generation and methyl orange removal,108,10.1007/s00449-014-1148-y,G et al. (2014)
Nitrogen doped graphene sheets as metal free anode catalysts for the high-performance microbial fuel cells,109,10.1016/j.ijhydene.2015.06.025,K et al. (2015)
Macroporous and monolithic anode based on polyaniline hybridized three-dimensional graphene for high-performance microbial fuel cells,110,10.1021/nn204656d,Y et al. (2012)
Microbially-reduced graphene scaffolds to facilitate extracellular electron transfer in microbial fuel cells,111,10.1016/j.biortech.2012.03.118,Y et al. (2012)
Fabrication of three-dimensional graphene anode for augmenting performance in microbial fuel cells,112,10.1016/j.crcon.2019.06.003,P et al. (2019)
Recovery of silver from wastewater coupled with power generation using a microbial fuel cell,113,10.1016/j.biortech.2011.12.058,C et al. (2012)
Crumpled graphene particles for microbial fuel cell electrodes,114,10.1016/j.jpowsour.2012.02.036,X et al. (2012)
Synergistic effect of titanium dioxide nanocrystal/reduced graphene oxide hybrid on enhancement of microbial electrocatalysis,115,10.1016/j.jpowsour.2014.11.127,Z et al. (2015)
Design of Iron (II) Phthalocyanine-Derived Oxygen Reduction Electrocatalysts for High-Power-Density Microbial Fuel Cells,116,10.1002/cssc.201700851,S et al. (2017)
The impact of new cathode materials relative to baseline performance of microbial fuel cells all with the same architecture and solution chemistry,117,10.1039/C7EE00910K,Y et al. (2017)
One-step electrosynthesis of polypyrrole/graphene oxide composites for microbial fuel cell application,118,10.1016/j.electacta.2013.08.022,L et al. (2013)
A new method for fabrication of graphene/polyaniline nanocomplex modified microbial fuel cell anodes,119,10.1016/j.jpowsour.2012.09.091,H et al. (2013)
Graphene/Au composites as an anode modifier for improving electricity generation in shewanella inoculated microbial fuel cells,120,10.1039/C5AY00976F,Z et al. (2015)
Graphene oxide/carbon nanotube composite hydrogels-versatile materials for microbial fuel cell applications,121,10.1002/marc.201400332,K et al. (2014)
Power generation from cellulose using mixed and pure cultures of cellulose-degrading bacteria in a microbial fuel cell,122,10.1016/j.enzmictec.2012.07.008,H et al. (2012)
Microbial fuel cell performance of multiwall carbon nanotubes on carbon cloth as electrodes,123,10.1016/j.jpowsour.2009.05.018,T et al. (2009)
Scaling up microbial fuel cells,124,10.1021/es800775d,D et al. (2008)
Use of carbon mesh anodes and the effect of different pre-treatment methods on power production in microbial fuel cells,125,10.1021/es900997w,W et al. (2009)
Novel electrode materials to enhance the bacterial adhesion and increase the power generation in microbial fuel cells (MFCs),126,10.2166/wst.2009.007,J et al. (2009)
Marine microbial fuel cell: Use of stainless-steel electrodes as anode and cathode materials,127,10.1016/j.electacta.2007.06.069,D et al. (2007)
Increased performance of single-chamber microbial fuel cells using an improved cathode structure,128,10.1016/j.elecom.2006.01.010,C et al. (2006)
Factors affecting the performance of microbial fuel cells for sulfide and vanadium (V) treatment,129,10.1007/s00449-009-0312-2,Z et al. (2010)
Electricity generation from cysteine in a microbial fuel cell,130,10.1016/j.watres.2004.11.019,L et al. (2005)
Biological denitrification in microbial fuel cells,131,10.1021/es062580r,C et al. (2007)
