Title,Reference Number,DOI,First Author
Theory of charged impurity scattering in two-dimensional graphene,1,10.1016/j.ssc.2009.02.041,A et al. (2009)
Mesoporous nitrogen-rich carbon materials as cathode catalysts in microbial fuel cells,2,10.1016/j.jpowsour.2014.06.115,A et al. (2014)
Bioelectricity generation in continuously-fed microbial fuel cell: effects of anode electrode material and hydraulic retention time,3,10.1016/j.biortech.2013.09.102,A et al. (2013)
Microbial fuel cells: electricity production from carbohydrates,4,10.1007/BF02918975,A et al. (1993)
Scaled-up dual anode/cathode microbial fuel cell stack for actual ethanolamine wastewater treatment,5,10.1016/j.biortech.2016.01.108,A et al. (2016)
Novel composite polybenzimidazole-based proton exchange membranes as efficient and sustainable separators for microbial fuel cells,6,10.1016/j.jpowsour.2017.02.084,A et al. (2017)
Sulphonated PVA/PBI based cross-linked composites towards anhydrous proton conductive polymer electrolyte membranes for fuel cells,7,10.1016/S1452-3981(23)16189-X,A et al. (2012)
Synthesis and characterization of sulfonated chitosan (SCS)/sulfonated polyvinyl alcohol (SPVA) blend membrane for microbial fuel cell application,8,10.1016/j.mseb.2023.116942,A et al. (2024)
Development of MFC using sulphonated polyether ether ketone (SPEEK) membrane for electricity generation from waste water,9,10.1016/j.biortech.2011.09.021,A et al. (2011)
Cr(VI) removal from synthetic wastewater using coconut shell charcoal and commercial activated carbon modified with oxidizing agents and/or chitosan,10,10.1016/j.chemosphere.2003.10.001,B et al. (2004)
Effect of casting solvent on the characteristics of Nafion/TiO2 nanocomposite membranes for microbial fuel cell application,11,10.1016/j.ijhydene.2015.11.036,B et al. (2016)
Long-term performance of primary and secondary electroactive biofilms using layered corrugated carbon electrodes,12,10.3389/fenrg.2014.00030,B et al. (2014)
Does it have to be carbon? Metal anodes in microbial fuel cells and related bioelectrochemical systems,13,10.1039/C5EE00866B,B et al. (2015)
Rice mill wastewater treatment in microbial fuel cells fabricated using proton exchange membrane and earthen pot at different pH,14,10.1016/j.bioelechem.2010.06.002,B et al. (2010)
Interfacial physicochemical properties of functionalized conducting polypyrrole particles,15,10.1016/j.polymer.2004.11.066,B et al. (2005)
Electrochemical evaluation of Ti/TiO2-polyaniline anodes for microbial fuel cells using hypersaline microbial consortia for synthetic wastewater treatment,16,No DOI,B et al. (2010)
Challenges for PEM fuel cell membranes,17,10.1002/er.1142,B et al. (2005)
No Title,18,No DOI,B et al. (2015)
Preparation and properties of cross-linked sulfonated poly(arylene ether sulfone)/sulfonated polyimide blend membranes for fuel cell application,19,10.1016/j.memsci.2009.12.017,B et al. (2010)
One-step pyrolysis route to three dimensional nitrogen-doped porous carbon as anode materials for microbial fuel cells,20,10.1016/j.apsusc.2017.08.030,B et al. (2018)
Electricity production by Geobacter suljiurreducens attached to electrodes,21,10.1128/AEM.69.3.1548-1555.2003,B et al. (2003)
Electroactive biofilms: current status and future research needs,22,10.1039/c1ee02511b,B et al. (2011)
Improved performance of anodewith iron/sulfur-modified graphite in microbial fuel cell,23,10.1016/j.elecom.2012.11.023,B et al. (2013)
Electricigens in the anode of microbial fuel cells: pure cultures versus mixed communities,24,10.1186/s12934-019-1087-z,C et al. (2019)
A poly (ethylene oxide)/graphene oxide electrolyte membrane for low temperature polymer fuel cells,25,10.1016/j.jpowsour.2011.06.074,C et al. (2011)
Removal of selenite from wastewater using microbial fuel cells,26,10.1007/s10529-009-9990-8,C et al. (2010)
Agro-food industry wastewater treatment with microbial fuel cells: energetic recovery issues,27,No DOI,C et al. (2017)
Testing various food-industry wastes for electricity production in microbial fuel cell,28,10.1016/j.biortech.2009.11.076,C et al. (2009)
Electricity generation by direct oxidation of glucose in mediatorless microbial fuel cells,29,10.1038/nbt867,C et al. (2003)
Origins of high onset overpotential of oxygen reduction reaction at Pt-based electrocatalysts: a mini review,30,10.1016/j.elecom.2018.09.011,C et al. (2018)
Ammonia treatment of carbon cloth anodes to enhance power generation of microbial fuel cells,31,10.1016/j.elecom.2006.10.023,C et al. (2007)
Effects of biofouling on ion transport through cation exchange membranes and microbial fuel cell performance,32,10.1016/j.biortech.2010.06.129,C et al. (2011)
Graphene for energy conversion and storage in fuel cells and supercapacitors,33,10.1016/j.nanoen.2012.05.001,C et al. (2012)
Decorating anode with bamboo-like nitrogen-doped carbon nanotubes for microbial fuel cells,34,10.1016/j.elecom.2011.11.006,C et al. (2012)
Graphene-based electrode materials for microbial fuel cells,35,10.1007/s40843-015-0061-2,C et al. (2015)
Electrochemical reactions of cytochrome c on electrodes modified by fullerene films,36,10.1016/S0022-0728(00)00453-8,C et al. (2001)
Controlled modification of carbon nanotubes and polyaniline on macroporous graphite felt for high-performance microbial fuel cell anode,37,10.1016/j.jpowsour.2015.02.088,C et al. (2015)
Performance evaluation of microbial fuel cell operated with Pd or MnO2 as cathode catalyst and chaetoceros pretreated anodic inoculum,38,10.1061/(ASCE)HZ.2153-5515.0000501,D et al. (2020)
Partial sulfonation of PVdF-co-HFP: a preliminary study and characterization for application in direct methanol fuel cell,39,10.1016/j.apenergy.2013.07.030,D et al. (2014)
Electron transfer coupling in microbial fuel cell 2. Performance of fuel cell containing selected microorganism mediator substrate combinations,40,10.1002/jctb.280340104,D et al. (2008)
Effective swine wastewater treatment by combining microbial fuel cells with flocculation,41,10.1016/j.chemosphere.2017.05.006,D et al. (2017)
Control of bacterial extracellular electron transfer by a solid-state mediator of polyaniline nanowire arrays,42,10.1039/c2ee22269h,D et al. (2012)
The effect of copper (II) ions on the growth and bioaccumulation peroperties of some yeast,43,10.1016/S0032-9592(99)00044-8,D et al. (1999)
Polydopamine as a new modification material to accelerate startup and promote anode performance in microbial fuel cells,44,10.1016/j.jpowsour.2017.01.093,D et al. (2017)
A state-of-the-art reviews on microbial fuel cells: a promising technology for wastewater treatment and bioenergy,45,10.1016/j.biotechadv.2007.05.004,D et al. (2007)
Effect of chemically modified Vulcan XC-72R on the performance of air-breathing cathode in a single-chamber microbial fuel cell,46,10.1016/j.biortech.2010.01.120,D et al. (2010)
Treatment of metal-contaminated wastes: why select a biological process?,47,10.1016/S0167-7799(99)01381-5,E et al. (1999)
Removal of arsenic in water using polypyrrole and its composites,48,No DOI,E et al. (2008)
Removal of chromium from waste water using polyaniline,49,10.1002/app.25904,E et al. (2007)
Application of electro-active biofilms,50,10.1080/08927010903161281,E et al. (2010)
