Title,Reference Number,DOI,First Author
Analysis of ammonia loss mechanisms in microbial fuel cells treating animal wastewater,1,10.1002/bit.21687,K et al. (2008)
Towards a science of climate and energy choices,2,10.1038/nclimate3027,S et al. (2016)
Global energy perspectives to 2060–WEC's world energy scenarios 2019,3,10.1016/j.esr.2020.100523,K et al. (2020)
Renewable energy and sustainable development: a crucial review,4,10.1016/S1364-0321(99)00011-8,D et al. (2000)
A novel microbial fuel cell stack for continuous production of clean energy,5,10.1016/j.ijhydene.2011.12.154,R et al. (2012)
Recent energy investigations on fossil and alternative nonfossil resources in Turkey,6,10.1016/S0196-8904(01)00036-X,A et al. (2002)
Sulfate and organic carbon removal by microbial fuel cell with sulfate-reducing bacteria and sulfide-oxidising bacteria anodic biofilm,7,10.1016/j.biortech.2013.12.129,L et al. (2014)
A comprehensive review on emerging constructed wetland coupled microbial fuel cell technology: potential applications and challenges,8,10.1016/j.biortech.2020.124376,G et al. (2021)
No Title,9,No DOI,N et al. (2020)
Full-loop operation and cathodic acidification of a microbial fuel cell operated on domestic wastewater,10,10.1016/j.biortech.2011.02.098,L et al. (2011)
Power recovery with multi-anode/cathode microbial fuel cells suitable for future large-scale applications,11,10.1016/j.ijhydene.2010.04.136,J et al. (2010)
A pilot-scale study on utilizing multi-anode/cathode microbial fuel cells (MAC MFCs) to enhance the power production in wastewater treatment,12,10.1016/j.ijhydene.2010.08.074,J et al. (2011)
Electricity generation and microbial community in a submerged-exchangeable microbial fuel cell system for low-strength domestic wastewater treatment,13,10.1016/j.biortech.2012.04.078,Y et al. (2012)
Scalable microbial fuel cell (MFC) stack for continuous real wastewater treatment,14,10.1016/j.biortech.2011.11.019,Z et al. (2012)
Long-term evaluation of a 10-liter serpentine-type microbial fuel cell stack treating brewery wastewater,15,10.1016/j.biortech.2012.07.038,Z et al. (2012)
In situ investigation of tubular microbial fuel cells deployed in an aeration tank at a municipal wastewater treatment plant,16,10.1016/j.biortech.2013.02.107,Z et al. (2013)
Long-term performance of liter-scale microbial fuel cells treating primary effluent installed in a municipal wastewater treatment facility,17,10.1021/es400631r,Z et al. (2013)
A horizontal plug flow and stackable pilot microbial fuel cell for municipal wastewater treatment,18,10.1016/j.biortech.2013.12.104,F et al. (2014)
A 90-liter stackable baffled microbial fuel cell for brewery wastewater treatment based on energy self-sufficient mode,19,10.1016/j.biortech.2015.06.026,D et al. (2015)
