,Type of Material,Anode ,Size of Anode,Surface Area of Anode cm2,Inoculum Source/,Power Density mw/m2,Reference Number,Title,DOI,Year
0,Carbon-based,Carbon Cloth,,,Innoculum Source,28.0,10,Full-loop operation and cathodic acidification of a microbial fuel cell operated on domestic wastewater,10.1016/j.biortech.2011.02.098,2011
1,Carbon-based,Graphite Rod and Carbon Cloth,,,Domestic wastewater,229.0,11,Power recovery with multi-anode/cathode microbial fuel cells suitable for future large-scale applications,10.1016/j.ijhydene.2010.04.136,2010
2,Carbon-based,Graphite Rod and Carbon Cloth,,,Domestic wastewater,1200.0,12,A pilot-scale study on utilizing multi-anode/cathode microbial fuel cells (MAC MFCs) to enhance the power production in wastewater treatment,10.1016/j.ijhydene.2010.08.074,2011
3,Carbon-based,Graphite Felt,,,Domestic wastewater,149.0,13,Electricity generation and microbial community in a submerged-exchangeable microbial fuel cell system for low-strength domestic wastewater treatment,10.1016/j.biortech.2012.04.078,2012
4,Carbon-based,Graphite Felt,,,Domestic wastewater,3.226,14,Scalable microbial fuel cell (MFC) stack for continuous real wastewater treatment,10.1016/j.biortech.2011.11.019,2012
5,Carbon-based,Graphite Felt,,,Swine wastewater,0.097,15,Long-term evaluation of a 10-liter serpentine-type microbial fuel cell stack treating brewery wastewater,10.1016/j.biortech.2012.07.038,2012
6,Carbon-based,Carbon Brush,,,Malt wastewater,4.71,16,In situ investigation of tubular microbial fuel cells deployed in an aeration tank at a municipal wastewater treatment plant,10.1016/j.biortech.2013.02.107,2013
7,Carbon-based,Carbon Brush,,,Domestic wastewater,14.61,17,Long-term performance of liter-scale microbial fuel cells treating primary effluent installed in a municipal wastewater treatment facility,10.1021/es400631r,2013
8,Carbon-based,Carbon Brush,,,Domestic wastewater,14.5,18,A horizontal plug flow and stackable pilot microbial fuel cell for municipal wastewater treatment,10.1016/j.biortech.2013.12.104,2014
9,Carbon-based,Carbon Brush,,,Domestic wastewater,159.0,19,A 90-liter stackable baffled microbial fuel cell for brewery wastewater treatment based on energy self-sufficient mode,10.1016/j.biortech.2015.06.026,2015
10,Carbon-based,Carbon Brush,,,Malt wastewater,17.25,20,Energy extraction from a large-scale microbial fuel cell system treating municipal wastewater,10.1016/j.jpowsour.2015.07.105,2015
11,Carbon-based,Carbon Brush,,,Domestic wastewater,1100.0,21,Microbial fuel cells with an integrated spacer and separate anode and cathode modules,No DOI,2016
12,Carbon-based,Carbon Brush,,,Domestic wastewater,10.74,22,"Long-term performance of a 200 liter modularized microbial fuel cell system treating municipal wastewater: treatment, energy, and cost",No DOI,2016
13,Carbon-based,Carbon Brush,,,Domestic wastewater,1.61,23,Long-term performance of a 20-L continuous flow microbial fuel cell for treatment of brewery wastewater,10.1016/j.jpowsour.2017.03.132,2017
14,Composite,Granullar Carbon with a Titanium Core,,,Domestic wastewater,25.0,28,A novel pilot-scale stacked microbial fuel cell for efficient electricity generation and wastewater treatment,10.1016/j.watres.2016.04.043,2016
15,Carbon-based,Carbon Brush,,,Domestic wastewater,3.2,29,Ceramic Microbial Fuel Cells Stack: power generation in standard and supercapacitive mode,10.1038/s41598-018-21404-y,2018
16,Carbon-based,Activated Carbon,,,Municipal Sewage,0.42,30,One-year operation of 1000-L modularized microbial fuel cell for municipal wastewater treatment,10.1016/j.watres.2018.04.066,2018
17,Carbon-based,Activated Carbon,,,Municipal Sewage,7.58,30,One-year operation of 1000-L modularized microbial fuel cell for municipal wastewater treatment,10.1016/j.watres.2018.04.066,2018
18,Carbon-based,Carbon Cloth,,,Vegetable Oil Industry Wastewater,6119.0,31,Adsorption of Cu (II) by low cost adsorbents and the cost analysis,10.1016/j.eti.2018.02.003,2018
