,Type of Material,Anode ,Size of Anode,Surface Area of Anode cm2,Inoculum Source/,Power Density mw/m2,Reference Number,Title,DOI,Year
0,Carbon-based,Carbon cloth,2 cm × 2 cm,4.0,S. putrefaciens CN32,679.7,104,L-Cysteine tailored porous graphene aerogel for enhanced power generation in microbial fuel cells,10.1039/C5RA09170E,2015
1,Composites,rGO/SnO2/Carbon cloth composite,3 cm × 2 cm,6.0,E. coli,1624.0,105,Facile microwave-assisted synthesized reduced graphene oxide/tin oxide nanocomposite and using as anode material of microbial fuel cell to improve power generation,10.1016/j.ijhydene.2014.05.008,2014
2,Carbon-based,Graphene,-,4.0,E. coli,2850.0,106,Electrochemically exfoliated graphene anodes with enhanced biocurrent production in single-chamber air-breathing microbial fuel cells,10.1016/j.bios.2016.02.054,2016
3,Composites,r GO/PPy,1 cm × 1.5 cm,,E. coli,1068.0,73,"Synthesis, structural, and morphological characterizations of reduced graphene oxide-supported polypyrrole anode catalysts for improved microbial fuel cell performances",10.1021/sc500244f,2014
4,Carbon-based,Graphene coating on Carbon cloth,1 cm × 2 cm,4.0,P. aeruginosa,52.5,107,Graphene/carbon cloth anode for high-performance mediatorless microbial fuel cells,10.1016/j.biortech.2012.02.116,2012
5,Carbon-based,Graphene oxide modification with carbon paper,5 × 3 cm2,,Anaerobic Sludge,368.0,108,Layer-by-layer construction of graphene-based microbial fuel cell for improved power generation and methyl orange removal,10.1007/s00449-014-1148-y,2014
6,Composite,Polyaniline (PANI) networks onto graphene nanoribbons (GNRs)-coated on carbon paper (CP/GNRs/PANI),2 cm × 2 cm,4.0,S. oneidensis MR-1,856.0,89,Antibacterial activity of graphene-modified anode on Shewanellaoneidensis MR-1 biofilm in microbial fuel cell,10.1016/j.jpowsour.2015.03.033,2015
7,Carbon-based,Graphene nanosheet coating on carbon paper,-,,S. oneidensis MR-1,610.0,91,Silver/iron oxide/graphitic carbon composites as bacteriostatic catalysts for enhancing oxygen reduction in microbial fuel cells,10.1016/j.jpowsour.2015.02.100,2015
8,Composites,N-doped graphene nanosheets (NGNS) on carbon cloth,1 cm × 1.5 cm,,E. coli,1008.0,109,Nitrogen doped graphene sheets as metal free anode catalysts for the high-performance microbial fuel cells,10.1016/j.ijhydene.2015.06.025,2015
9,Carbon-based,Graphene oxide,2 cm × 1cm,,S. oneidensis MR-1,102.0,90,High biocurrent generation in Shewanella-inoculated microbial fuel cells using ionic liquid functionalized graphene nanosheets as an anode,10.1039/c3cc42068j,2013
