Title,Reference Number,DOI,Year
A comprehensive review on emerging constructed wetland coupled microbial fuel cell technology: potential applications and challenges,1,No DOI,2020
Electroactive microorganisms in bioelectrochemical systems,2,10.1038/s41579-019-0173-x,2019
Microbial fuel cells: methodology and technology,3,10.1021/es0605016,2006
Advances in microbial fuel cells for wastewater treatment,4,10.1016/j.rser.2016.12.069,2017
Conversion of wastes into bioelectricity and chemicals by using microbial electrochemical technologies,5,10.1126/science.1217412,2012
Outlook on the role of microbial fuel cells in remediation of environmental pollutants with electricity generation,6,10.3390/catal10080819,2020
Development and modification of materials to build cost-effective anodes for microbial fuel cells (MFCs): an overview,7,10.1016/j.bej.2020.107779,2020
Application of advanced anodes in microbial fuel cells for power generation: a review,8,10.1016/j.chemosphere.2020.125985,2020
Biosurfactants and synthetic surfactants in bioelectrochemical systems: a mini-review,9,10.3389/fmicb.2020.00358,2020
Mini-review: anode modification for improved performance of microbial fuel cell,10,10.1016/j.rser.2017.01.138,2017
"A comprehensive review on microbial fuel cell technologies: processes, utilization, and advanced developments in electrodes and membranes",11,10.1016/j.jclepro.2019.02.172,2019
No Title,12,No DOI,2019
Polypyrrole modified stainless steel as high performance anode of microbial fuel cell,13,10.1016/j.bej.2018.01.018,2018
Investigation of crude oil degradation using metal oxide anode-based microbial fuel cell,14,10.1016/j.biteb.2020.100449,2020
High performance of microbial fuel cell afforded by metallic tungsten carbide decorated carbon cloth anode,15,10.1016/j.electacta.2019.135243,2020
Enhancing electricity generation of microbial fuel cell for wastewater treatment using nitrogen-doped carbon dots-supported carbon paper anode,16,10.1016/j.jclepro.2019.05.040,2019
Modification of carbon felt anode with graphene oxide-zeolite composite for enhancing the performance of microbial fuel cell,17,No DOI,2018
Enhanced performance of microbial fuel cell with polyaniline/sodium alginate/carbon brush hydrogel bioanode and removal of COD,18,10.1016/j.energy.2020.117780,2020
Interfacial electron transfer and bioelectrocatalysis of carbonized plant material as effective anode of microbial fuel cell,19,10.1016/j.electacta.2015.01.029,2015
Metal–polymer hybrid architectures as novel anode platform for microbial electrochemical technologies,20,10.1002/cssc.201600814,2017
"Silver grass-derived activated carbon with coexisting micro-, meso-and macropores as excellent bioanodes for microbial colonization and power generation in sustainable microbial fuel cells",21,10.1016/j.biortech.2019.122646,2020
Customizable design strategies for high-performance bioanodes in bioelectrochemical systems,22,10.1016/j.isci.2021.102163,2021
Progress in 3D printing of carbon materials for energy‐related applications,23,10.1002/adma.201603486,2017
3D printed porous carbon anode for enhanced power generation in microbial fuel cell,24,10.1016/j.nanoen.2017.11.070,2018
In situ formed graphene nanosheets enhance bidirectional electron transfer in bioelectrochemical systems,25,10.1039/D0SE00174K,2020
Effect of pore size on the current produced by 3-dimensional porous microbial anodes: a critical review,26,10.1016/j.biortech.2019.121641,2019
Uneven biofilm and current distribution in three-dimensional macroporous anodes of bio-electrochemical systems composed of graphite electrode arrays,27,10.1016/j.biortech.2016.12.092,2017
"A thermophilic gram-negative nitrate-reducing bacterium, Calditerrivibrio nitroreducens, exhibiting electricity generation capability",28,10.1021/es402749f,2013
No Title,29,No DOI,2012
Electrospun carbon fibers for microbial fuel cells: a novel bioanode design applied to wastewater treatment,30,10.1016/j.electacta.2021.137864,2021
FeS2 nanoparticles decorated graphene as microbial‐fuel‐cell anode achieving high power density,31,10.1002/adma.201800618,2018
A 3D porous NCNT sponge anode modified with chitosan and Polyaniline for high-performance microbial fuel cell,32,10.1016/j.bioelechem.2019.05.008,2019
3D printing of living bacteria electrode,33,10.1007/s12274-019-2534-1,2020
High power generation in mixed-culture microbial fuel cells with corncob-derived three-dimensional N-doped bioanodes and the impact of N dopant states,34,10.1016/j.cej.2020.125848,2020
Conductive polypyrrole-carboxymethyl cellulose-titanium nitride/carbon brush hydrogels as bioanodes for enhanced energy output in microbial fuel cells,35,10.1016/j.energy.2020.117942,2020
In situ synthesis of polypyrrole on graphite felt as bio-anode to enhance the start-up performance of microbial fuel cells,36,10.1007/s00449-019-02238-y,2020
Measurement and analysis of exchange current density for U/U3+ reaction in LiCl-KCl eutectic salt via various electrochemical techniques,37,10.1016/j.electacta.2017.01.011,2017
Performance enhancement of benthic microbial fuel cell by cerium coated electrodes,38,10.1016/j.electacta.2018.08.158,2019
GO/PEDOT modified biocathodes promoting CO 2 reduction to CH 4 in microbial electrosynthesis,39,10.1039/D0SE00321B,2020
Electrochemically synthesized graphene/polypyrrole composites and their use in supercapacitor,40,10.1016/j.carbon.2012.01.056,2012
