Title,Reference Number,DOI,Year
Altering anode thickness to improve power production in microbial fuel cells with different electrode distances,1,10.1021/ef3015553,2013
Toxicity of graphene and graphene oxide nanowalls against bacteria,2,10.1021/nn101390x,2010
Characterization of electricity production and microbial community of food waste-fed microbial fuel cells,3,10.1016/j.psep.2019.03.016,2019
One-step pyrolysis route to three dimensional nitrogen-doped porous carbon as anode materials for microbial fuel cells,4,10.1016/j.apsusc.2017.08.030,2018
Performance and microbial ecology of air-cathode microbial fuel cells with layered electrode assemblies,5,10.1007/s00253-009-2421-x,2010
Enhanced performance of microbial fuel cells by electrospinning carbon nanofibers hybrid carbon nanotubes composite anode,6,10.1016/j.ijhydene.2018.11.205,2019
Enhancing oxygen reduction reaction of supercapacitor microbial fuel cells with electrospun carbon nanofibers composite cathode,7,10.1016/j.cej.2019.04.025,2019
Extraordinarily stretchable all-carbon collaborative nanoarchitectures for epidermal sensors,8,10.1002/adma.201606411,2017
Selective enrichment of biocatalysts for bioelectrochemical systems: a critical review,9,10.1016/j.rser.2019.04.012,2019
Enhanced performance of microbial fuel cell with in situ preparing dual graphene modified bioelectrode,10,10.1016/j.biortech.2017.06.020,2017
Activated microporous-mesoporous carbon derived from chestnut shell as a sustainable anode material for high performance microbial fuel cells,11,10.1016/j.biortech.2017.09.086,2018
A three-dimensionally ordered macroporous carbon derived from a natural resource as anode for microbial bioelectrochemical systems,12,10.1002/cssc.201100783,2012
Layered corrugated electrode macrostructures boost microbial bioelectrocatalysis,13,10.1039/c2ee23344d,2012
Electrospun and solution blown three-dimensional carbon fiber nonwovens for application as electrodes in microbial fuel cells,14,10.1039/c0ee00446d,2011
Reticulated carbon foam derived from a sponge-like natural product as a high-performance anode in microbial fuel cells,15,10.1039/c2jm33733a,2012
A hierarchically structured urchin-like anode derived from chestnut shells for microbial energy harvesting,16,10.1016/j.electacta.2016.07.077,2016
Enhanced performance of microbial fuel cells by using MnO 2/Halloysite nanotubes to modify carbon cloth anodes,17,10.1016/j.energy.2016.05.041,2016
Ammonia treatment of carbon cloth anodes to enhance power generation of microbial fuel cells,18,10.1016/j.elecom.2006.10.023,2007
In situ fabrication of green reduced graphene-based biocompatible anode for efficient energy recycle,19,10.1016/j.chemosphere.2017.11.057,2018
Performance improvement of microbial fuel cells for waste water treatment along with value addition: a review on past achievements and recent perspectives,20,10.1016/j.rser.2017.05.098,2017
Decorating anode with bamboo-like nitrogen-doped carbon nanotubes for microbial fuel cells,21,10.1016/j.elecom.2011.11.006,2012
Controlled modification of carbon nanotubes and polyaniline on macroporous graphite felt for high-performance microbial fuel cell anode,22,10.1016/j.jpowsour.2015.02.088,2015
Carbon nanotube fiber mats for microbial fuel cell electrodes,23,10.1016/j.biortech.2017.06.170,2017
Polydopamine as a new modification material to accelerate startup and promote anode performance in microbial fuel cells,24,10.1016/j.jpowsour.2017.01.093,2017
"The future of seawater desalination: energy, technology, and the environment",25,10.1126/science.1200488,2011
Applications of graphene in microbial fuel cells: the gap between promise and reality,26,10.1016/j.rser.2016.10.044,2017
Different modified multi-walled carbon nanotube-based anodes to improve the performance of microbial fuel cells,27,10.1016/j.ijhydene.2017.07.151,2017
Graphene oxide: a promising membrane material for fuel cells,28,10.1016/j.rser.2017.09.081,2018
Integrating cost-effective microbial fuel cells and energy-efficient capacitive deionization for advanced domestic wastewater treatment,29,10.1016/j.cej.2017.07.122,2017
"TiO2 nanotube Arrays modified titanium: a stable, scalable, and cost-effective bioanode for microbial fuel cells",30,10.1021/acs.estlett.6b00410,2016
Nickle-cobalt composite catalyst-modified activated carbon anode for direct glucose alkaline fuel cell,31,10.1016/j.ijhydene.2017.11.114,2018
Development of mats composed by TiO2 and carbon dual electrospun nanofibers: a possible anode material in microbial fuel cells,32,10.1016/j.mseb.2014.12.003,2015
Optimization of operating conditions of miniaturize single chambered microbial fuel cell using NiWO4/graphene oxide modified anode for performance improvement and microbial communities dynamics,33,10.1016/j.biortech.2019.121337,2019
Conducting polymers for neural prosthetic and neural interface applications,34,10.1002/adma.201501810,2015
Stratified chemical and microbial characteristics between anode and cathode after long-term operation of plant microbial fuel cells for remediation of metal contaminated soils,35,10.1016/j.scitotenv.2019.03.096,2019
Wetland plant microbial fuel cells for remediation of hexavalent chromium contaminated soils and electricity production,36,10.1016/j.jhazmat.2018.10.086,2019
Layer-by-layer assembled gold nanoparticles modified anode and its application in microbial fuel cells,37,10.1016/j.colsurfa.2012.09.032,2012
"Performance of electro-spun carbon nanofiber electrodes with conductive poly(3,4-ethylenedioxythiophene) coatings in bioelectrochemical systems",38,10.1016/j.jpowsour.2017.03.133,2017
Biosynthesized FeO nanoparticles coated carbon anode for improving the performance of microbial fuel cell,39,10.1016/j.ijhydene.2017.07.084,2017
"Development of microbial fuel cells needs to go beyond ""power density",40,10.1021/acsenergylett.7b00041,2017
Performance of non-porous graphite and titanium-based anodes in microbial fuel cells,41,10.1016/j.electacta.2008.03.032,2008
Surface modification of commercial carbon felt used as anode for Microbial Fuel Cells,42,10.1016/j.energy.2016.01.039,2016
Mini-review: anode modification for improved performance of microbial fuel cell,43,10.1016/j.rser.2017.01.138,2017
Comparative assessment of the strain-sensing behaviors of polylactic acid nanocomposites: reduced graphene oxide or carbon nanotubes,44,10.1039/C6TC05261D,2017
Nano-Fe3C@PGC as a novel low-cost anode electrocatalyst for superior performance microbial fuel cells,45,10.1016/j.bios.2019.111594,2019
Graphene-based antibacterial paper,46,10.1021/nn101097v,2010
In-situ modified carbon cloth with polyaniline/graphene as anode to enhance performance of microbial fuel cell,47,10.1016/j.ijhydene.2016.05.048,2016
Biochar as a sustainable electrode material for electricity production in microbial fuel cells,48,10.1016/j.biortech.2014.01.058,2014
Biochar based microbial fuel cell for enhanced wastewater treatment and nutrient recovery,49,10.3390/su8020169,2016
Renewable coffee waste-derived porous carbons as anode materials for high-performance sustainable microbial fuel cells,50,10.1021/acssuschemeng.9b02405,2019
Electron transfer mechanism in Shewanella loihica PV-4 biofilms formed at graphite electrode,51,10.1016/j.bioelechem.2011.12.012,2012
Novel bioelectrodes based on polysaccharide modified gold surfaces and electrochemically active Lactobacillus rhamnosus GG biofilms,52,10.1016/j.electacta.2018.11.154,2019
Carbon paper electrode modified with TiO2 nanowires enhancement bioelectricity generation in microbial fuel cell,53,10.1016/j.synthmet.2016.02.015,2016
3D carbon based nanostructures for advanced supercapacitors,54,10.1039/C2EE23284G,2013
Macroporous graphitic carbon foam decorated with polydopamine as a high-performance anode for microbial fuel cell,55,10.1016/j.jpowsour.2017.07.064,2017
"Synergetic effect of conductive polymer poly(3,4-ethylenedioxythiophene) with different structural configuration of anode for microbial fuel cell application",56,10.1016/j.biortech.2015.04.044,2015
Facile reconstruction of microbial fuel cell (MFC) anode with enhanced exoelectrogens selection for intensified electricity generation,57,10.1016/j.ijhydene.2016.09.059,2016
Interfacial electron transfer and bioelectrocatalysis of carbonized plant material as effective anode of microbial fuel cell,58,10.1016/j.electacta.2015.01.029,2015
Recent progress of nanostructure modified anodes in microbial fuel cells,59,10.1166/jnn.2015.10723,2015
Towards microbial biofuel cells: improvement of charge transfer by self-modification of microoganisms with conducting polymer – Polypyrrole,60,10.1016/j.cej.2018.09.026,2019
Recent advances and challenges in the anode architecture and their modifications for the applications of microbial fuel cells,61,10.1016/j.bios.2012.12.048,2013
Application of graphene-cobalt/nickel composite-carbon cloth modified electrode in microbial fuel cell,62,10.1089/ees.2017.0543,2018
"N, P-doped mesoporous carbon from onion as trifunctional metal-free electrode modifier for enhanced power performance and capacitive manner of microbial fuel cells",63,10.1016/j.electacta.2017.12.164,2018
Almond shell derived porous carbon for a high-performance anode of microbial fuel cells,64,10.1039/C9SE00659A,2019
Co-modified MoO2 nanoparticles highly dispersed on N-doped carbon nanorods as anode electrocatalyst of microbial fuel cells,65,10.1016/j.bios.2019.111727,2019
Hierarchically structured porous materials for energy conversion and storage,66,10.1002/adfm.201200591,2012
Carbon nanotube powders as electrode modifier to enhance the activity of anodic biofilm in microbial fuel cells,67,10.1016/j.bios.2010.12.002,2011
Enhancement of power production with tartaric acid doped polyaniline nanowire network modified anode in microbial fuel cells,68,10.1016/j.biortech.2015.05.105,2015
Identification of biofilm formation and exoelectrogenic population structure and function with graphene/polyanliline modified anode in microbial fuel cell,69,10.1016/j.chemosphere.2018.11.212,2019
Controllable growth of graphene/Cu composite and its nanoarchitecture-dependent electrocatalytic activity to hydrazine oxidation,70,No DOI,2014
Enhanced electricity generation for microbial fuel cell by using electrochemical oxidation to modify carbon cloth anode,71,10.1016/j.jpowsour.2014.04.005,2014
Graphene/carbon cloth anode for high-performance mediatorless microbial fuel cells,72,10.1016/j.biortech.2012.02.116,2012
Titanium dioxide nanoparticles modified three dimensional ordered macroporous carbon for improved energy output in microbial fuel cells,73,10.1016/j.electacta.2015.12.131,2016
Cathodic catalysts in bioelectrochemical systems for energy recovery from wastewater,74,10.1039/C3CS60130G,2014
"Poly (3,4-ethylenedioxythiophene) promotes direct electron transfer at the interface between Shewanella loihica and the anode in a microbial fuel cell",75,10.1016/j.jpowsour.2014.11.129,2015
Facile fabrication of conductive polyaniline nanoflower modified electrode and its application for microbial energy harvesting,76,10.1016/j.electacta.2017.09.153,2017
The study of electrochemically active microbial biofilms on different carbon-based anode materials in microbial fuel cells,77,10.1016/j.bios.2010.01.016,2010
Exoelectrogenic bacteria that power microbial fuel cells,78,10.1038/nrmicro2113,2009
Membrane-based processes for sustainable power generation using water,79,10.1038/nature11477,2012
Conversion of wastes into bioelectricity and chemicals by using microbial electrochemical technologies,80,10.1126/science.1217412,2012
Electricity-producing bacterial communities in microbial fuel cells,81,10.1016/j.tim.2006.10.003,2006
Nitrogen-enriched pseudographitic anode derived from silk cocoon with tunable flexibility for microbial fuel cells,82,10.1016/j.nanoen.2016.12.046,2017
Graphene-based materials for electrochemical energy storage devices: opportunities and challenges,83,10.1016/j.ensm.2015.10.002,2016
Municipal sludge-derived carbon anode with nitrogen- and oxygen-containing functional groups for high-performance microbial fuel cells,84,10.1016/j.jpowsour.2015.12.109,2016
Review on nanostructured photoelectrodes for next generation dye-sensitized solar cells,85,10.1016/j.rser.2013.07.011,2013
Cellular toxicity of carbon-based nanomaterials. Nano Lett 6: 1121-1125,86,10.1021/nl060162e,2006
"Poly(3,4-ethylenedioxythiophene) (PEDOT) derivatives: innovative conductive polymers for bioelectronics",87,10.3390/polym9080354,2017
AQDS immobilized solid-phase redox mediators and their role during bioelectricity generation and RR2 decolorization in air-cathode single-chamber microbial fuel cells,88,10.1016/j.bioelechem.2017.07.007,2017
Facile microwave-assisted synthesized reduced graphene oxide/tin oxide nanocomposite and using as anode material of microbial fuel cell to improve power generation,89,10.1016/j.ijhydene.2014.05.008,2014
Cobalt oxides-sheathed cobalt nano flakes to improve surface properties of carbonaceous electrodes utilized in microbial fuel cells,90,10.1016/j.cej.2017.05.166,2017
Effective strategies for anode surface modification for power harvesting and industrial wastewater treatment using microbial fuel cells,91,No DOI,2018
Ammonia inhibition of electricity generation in single-chambered microbial fuel cells,92,10.1016/j.jpowsour.2010.03.091,2010
No Title,93,No DOI,2016
"A comprehensive review on microbial fuel cell technologies: processes, utilization, and advanced developments in electrodes and membranes",94,10.1016/j.jclepro.2019.02.172,2019
Performance enhancement with a hydrophilic self-immobilized redox mediator modified anode in chlorella vulgaris-based microbial solar cell,95,10.1021/acssuschemeng.5b00151,2015
Modification of carbon felt anode with graphene oxide-zeolite composite for enhancing the performance of microbial fuel cell,96,No DOI,2018
Electrodeposition of MnO 2 on polypyrrole-coated stainless steel to enhance electrochemical activities in microbial fuel cells,97,10.1016/j.ssi.2017.11.022,2018
Polypyrrole modified stainless steel as high performance anode of microbial fuel cell,98,10.1016/j.bej.2018.01.018,2018
Electrocatalysis in microbial fuel cells-from electrode material to direct electrochemistry,99,10.1039/b923503e,2010
Nanostructured polyanifine/titanium dioxide composite anode for microbial fuel cells,100,10.1021/nn700102s,2008
Direct electrochemistry and electrocatalytic mechanism of evolved Escherichia coli cells in microbial fuel cells,101,10.1039/b719955d,2008
Anode decoration with biogenic Pd nanoparticles improved power generation in microbial fuel cells,102,10.1016/j.electacta.2015.09.157,2015
Anode modification with palladium nanoparticles enhanced Evans Blue removal and power generation in microbial fuel cells,103,10.1016/j.ibiod.2018.01.001,2018
Running on gas,104,10.1038/nenergy.2017.93,2017
Microbial fuel cells: from fundamentals to applications. A review,105,10.1016/j.jpowsour.2017.03.109,2017
No Title,106,No DOI,2017
Microbial fuel cells: an overview of current technology,107,10.1016/j.rser.2018.09.044,2019
"Exploring the use of polyaniline-modified stainless steel plates as low-cost, high-performance anodes for microbial fuel cells",108,10.1016/j.electacta.2018.01.163,2018
Low-cost stainless-steel wool anodes modified with polyaniline and polypyrrole for high-performance microbial fuel cells,109,10.1016/j.jpowsour.2018.01.001,2018
Recent advances in the development and utilization of modern anode materials for high performance microbial fuel cells,110,10.1016/j.bios.2016.10.014,2017
Living and conducting: coating individual bacterial cells with In Situ formed polypyrrole,111,10.1002/anie.201704729,2017
Modification of graphite felt using nano polypyrrole and polythiophene for microbial fuel cell applications-a comparative study,112,10.1016/j.ijhydene.2017.12.175,2018
In-situ growth of graphene/polyaniline for synergistic improvement of extracellular electron transfer in bioelectrochemical systems,113,10.1016/j.bios.2016.08.037,2017
Review on application of PEDOTs and PEDOT:PSS in energy conversion and storage devices,114,10.1007/s10854-015-2895-5,2015
Harvest and utilization of chemical energy in wastes by microbial fuel cells,115,10.1039/C5CS00903K,2016
Prospects of colloidal nanocrystals for electronic and optoelectronic applications,116,10.1021/cr900137k,2010
In situ formation of graphene layers on graphite surfaces for efficient anodes of microbial fuel cells,117,10.1016/j.bios.2015.04.074,2015
High-capacity carbon-coated titanium dioxide core-shell nanoparticles modified three dimensional anodes for improved energy output in microbial fuel cells,118,10.1016/j.jpowsour.2014.10.035,2015
Anthraquinone-2-sulfonate immobilized to conductive polypyrrole hydrogel as a bioanode to enhance power production in microbial fuel cell,119,10.1016/j.biortech.2017.07.189,2017
Nitinol as a suitable anode material for electricity generation in microbial fuel cells,120,10.1016/j.bioelechem.2019.03.008,2019
Improvement of power generation of microbial fuel cell by integrating tungsten oxide electrocatalyst with pure or mixed culture biocatalysts,121,10.1016/j.electacta.2016.03.152,2016
Enhanced power generation and wastewater treatment in sustainable biochar electrodes based bioelectrochemical system,122,10.1016/j.biortech.2017.05.155,2017
Facile in-situ fabrication of graphene/riboflavin electrode for microbial fuel cells,123,10.1016/j.electacta.2017.03.008,2017
Use of carbon mesh anodes and the effect of different pretreatment methods on power production in microbial fuel cells,124,10.1021/es900997w,2009
Polyaniline/mesoporous tungsten trioxide composite as anode electrocatalyst for high-performance microbial fuel cells,125,10.1016/j.bios.2012.09.054,2013
Recent progress in electrodes for microbial fuel cells,126,10.1016/j.biortech.2011.07.019,2011
TiO2 nanoparticles-decorated carbon nanotubes for significantly improved bioelectricity generation in microbial fuel cells,127,10.1016/j.jpowsour.2013.01.146,2013
A review into the use of ceramics in microbial fuel cells,128,10.1016/j.biortech.2016.03.135,2016
Hierarchical TiO2 microspheres comprised of anatase nanospindles for improved electron transport in dye-sensitized solar cells,129,10.1039/C2NR32680A,2013
Pectin assisted one-pot synthesis of three dimensional porous NiO/graphene composite for enhanced bioelectrocatalysis in microbial fuel cells,130,10.1016/j.jpowsour.2017.12.023,2018
Anode modification by biogenic gold nanoparticles for the improved performance of microbial fuel cells and microbial community shift,131,10.1016/j.biortech.2018.08.092,2018
Microbial biofuel cell operating effectively through carbon nanotube blended with gold–titania nanocomposites modified electrode,132,10.1016/j.electacta.2013.07.166,2013
