Title,Reference Number,DOI,Year
Performance improvement of microbial fuel cells for waste water treatment along with value addition: A review on past achievements and recent perspectives,1,10.1016/j.rser.2017.05.098,2017
"Application of UV-Based Advanced Oxidation Processes inWater
andWastewater Treatment",2,10.4018/978-1-5225-5766-1.ch014,2019
Conversion of wastes into bioelectricity and chemicals by using microbial electrochemical technologies,3,10.1126/science.1217412,2012
High performance platinum group metal-free cathode catalysts for microbial fuel cell (MFC),4,10.1149/2.0061703jes,2017
Denitrification of water in a microbial fuel cell (MFC) using seawater bacteria,5,10.1016/j.jclepro.2017.12.221,2018
Anode modification by biogenic gold nanoparticles for the improved performance of microbial fuel cells and microbial community shift,6,10.1016/j.biortech.2018.08.092,2018
Recent progress in electrodes for microbial fuel cells,7,10.1016/j.biortech.2011.07.019,2011
Performance improvement of microbial fuel cell (MFC) using suitable electrode and Bioengineered organisms: A review,8,10.1080/21655979.2016.1267883,2017
Applications of graphene in microbial fuel cells: The gap between promise and reality,9,10.1016/j.rser.2016.10.044,2017
In situ nitrogen-doping of nickel nanoparticle-dispersed carbon nanofiber-based electrodes: Its positive effects on the performance of a microbial fuel cell,10,10.1016/j.electacta.2015.12.191,2016
Application of advanced anodes in microbial fuel cells for power generation: A review,11,10.1016/j.chemosphere.2020.125985,2020
Assessment of Microbial Fuel Cell Configurations and Power Densities,12,10.1021/acs.estlett.5b00180,2015
Surface modification of microbial fuel cells anodes: Approaches to practical design,13,10.1016/j.electacta.2014.04.136,2014
Towards sustainable wastewater treatment by using microbial fuel cells-centered technologies,14,10.1039/C3EE43106A,2014
The effects of microbial fuel cell integration into constructed wetland on the performance of constructed wetland,15,10.1016/j.biortech.2015.05.072,2015
Improved microbial electrocatalysis with neutral red immobilized electrode,16,10.1016/j.jpowsour.2010.06.056,2011
Performance of single carbon granules as perspective for larger scale capacitive bioanodes,17,10.1016/j.jpowsour.2016.06.092,2016
Recent advances in the development and utilization of modern anode materials for high performance microbial fuel cells,18,10.1016/j.bios.2016.10.014,2017
Dual-Function Electrocatalytic and Macroporous Hollow-Fiber Cathode for Converting Waste Streams to Valuable Resources Using Microbial Electrochemical Systems,19,10.1002/adma.201707072,2018
