Reference Index,type_of_reference,authors,title,year,abstract,start_page,end_page,alternate_title3,volume,number,publisher,doi,First Author
1,JOUR,"['Kumar, Ravinder; Singh, Lakhveer; Zularisam, A. W.; Hai, Faisal I.']","Microbial fuel cell is emerging as a versatile technology: a review on its possible applications, challenges and strategies to improve the performances",2017,"ummary Microbial fuel cells (MFCs) are emerging as a versatile renewable energy technology. This is particularly because of the multidimensional applications of this eco-friendly technology. The technology depends on the electroactive bacteria, popularly known as exoelectrogens, to simultaneously produce electric power and treat wastewater. Electrode modifications with nanomaterials such as gold nanoparticles and iron oxide nanoparticles or pretreatment methods such as sonication and autoclave sterilization have shown promising results in enhancing MFC performance for electricity generation and wastewater treatment. The MFC technology has been also investigated for the removal of various heavy metals and toxic elements, and to detect the presence of toxic elements in wastewater. In addition, the MFCs can be modified into microbial electrolysis cells to generate hydrogen energy from various organic matters. This article provides a comprehensive and state-of-the-art review of possible applications of the MFC technology. This also points out the various challenges that limit MFC performance. Finally, this article identifies the strategies to improve MFC performance for different applications. Copyright © 2017 John Wiley & Sons, Ltd. Highlights State-of-the-art information on major applications of MFCs and strategies to improve them is provided in this article. The basic principles of all the applications are thoroughly discussed. The obstacles that limit the technology to use in real-world applications are reported. Many approaches such as electrode modification and genetic engineering can be utilized to improve MFC performances.",369,394,International Journal of Energy Research,42,2,,10.1002/er.3780,Kumar
2,JOUR,"['Ahmad, Tanweer; Danish, Mohammad; Rafatullah, Mohammad; Ghazali, Arniza; Sulaiman, Othman; Hashim, Rokiah; Ibrahim, Mohamad Nasir Mohamad']",The use of date palm as a potential adsorbent for wastewater treatment: a review.,2011,NA,1464,1484,Environmental science and pollution research international,19,5,,10.1007/s11356-011-0709-8,Ahmad
3,JOUR,"['Cai, Teng; Meng, Lijun; Chen, Gang; Xi, Yu; Jiang, Nan; Song, Jialing; Zheng, Shengyang; Liu, Yanbiao; Zhen, Guangyin; Huang, Manhong']",Application of advanced anodes in microbial fuel cells for power generation: A review.,2020,NA,125985,125985,Chemosphere,248,NA,,10.1016/j.chemosphere.2020.125985,Cai
4,JOUR,"['Zhang, Baogang; Feng, Chuanping; Ni, Jinren; Zhang, Jing; Huang, Wenli']",Simultaneous reduction of vanadium (V) and chromium (VI) with enhanced energy recovery based on microbial fuel cell technology,2012,NA,34,39,Journal of Power Sources,204,NA,,10.1016/j.jpowsour.2012.01.013,Zhang
5,JOUR,"['Clauwaert, Peter; Rabaey, Korneel; Aelterman, P.; De Schamphelaire, Liesje; Boeckx, Pascal; Boon, Nico; Verstraete, Willy']",Biological denitrification in microbial fuel cells.,2007,"Microbial fuel cells (MFCs) that remove carbon as well as nitrogen compounds out of wastewater are of special interest for practice. We developed a MFC in which microorganisms in the cathode performed a complete denitrification by using electrons supplied by microorganisms oxidizing acetate in the anode. The MFC with a cation exchange membrane was designed as a tubular reactor with an internal cathode and was able to remove up to 0.146 kg NO3--N m(-3) net cathodic compartment (NCC) d(-1) (0.080 kg NO3--N m(-3) total cathodic compartment d(-1) (TCC)) at a current of 58 A m(-3) NCC (32 A m(-3) TCC) and a cell voltage of 0.075 V. The highest power output in the denitrification system was 8 W m(-3) NCC (4 W m(-3) TCC) with a cell voltage of 0.214 V and a current of 35 A m(-3) NCC. The denitrification rate and the power production was limited by the cathodic microorganisms, which only denitrified significantly at a cathodic electrode potential below 0 V versus standard hydrogen electrode (SHE). This is, to our knowledge, the first study in which a MFC has both a biological anode and cathode performing simultaneous removal of an organic substrate, power production, and complete denitrification without relying on H-2-formation or external added power.",3354,3360,Environmental science & technology,41,9,,10.1021/es062580r,Clauwaert
6,JOUR,"['Chen, Shanshan; Tang, Jiahuan; Jing, Xianyue; Liu, Yi; Yuan, Yong; Zhou, Shungui']",A hierarchically structured urchin-like anode derived from chestnut shells for microbial energy harvesting,2016,NA,883,889,Electrochimica Acta,212,NA,,10.1016/j.electacta.2016.07.077,Chen
7,JOUR,"['Logan, Bruce E.; Rabaey, Korneel']",Conversion of wastes into bioelectricity and chemicals by using microbial electrochemical technologies.,2012,"Waste biomass is a cheap and relatively abundant source of electrons for microbes capable of producing electrical current outside the cell. Rapidly developing microbial electrochemical technologies, such as microbial fuel cells, are part of a diverse platform of future sustainable energy and chemical production technologies. We review the key advances that will enable the use of exoelectrogenic microorganisms to generate biofuels, hydrogen gas, methane, and other valuable inorganic and organic chemicals. Moreover, we examine the key challenges for implementing these systems and compare them to similar renewable energy technologies. Although commercial development is already underway in several different applications, ranging from wastewater treatment to industrial chemical production, further research is needed regarding efficiency, scalability, system lifetimes, and reliability.",686,690,"Science (New York, N.Y.)",337,6095,,10.1126/science.1217412,Logan
8,JOUR,"['Jin, Chunji; Li, Fang; Choi, Chansoo; Lim, Bongsu']",SIMULTANEOUS REMOVAL AND/OR RECOVERY OF Cr(VI) AND Cr(III) USING A DOUBLE MFC TECHNIQUE,2019,NA,235,242,Environmental Engineering and Management Journal,18,1,,10.30638/eemj.2019.023,Jin
9,JOUR,"['Santoro, Carlo; Arbizzani, Catia; Erable, Benjamin; Ieropoulos, Ioannis']",Microbial fuel cells: From fundamentals to applications. A review,2017,"In the past 10–15 years, the microbial fuel cell (MFC) technology has captured the attention of the scientific community for the possibility of transforming organic waste directly into electricity through microbially catalyzed anodic, and microbial/enzymatic/abiotic cathodic electrochemical reactions. In this review, several aspects of the technology are considered. Firstly, a brief history of abiotic to biological fuel cells and subsequently, microbial fuel cells is presented. Secondly, the development of the concept of microbial fuel cell into a wider range of derivative technologies, called bioelectrochemical systems, is described introducing briefly microbial electrolysis cells, microbial desalination cells and microbial electrosynthesis cells. The focus is then shifted to electroactive biofilms and electron transfer mechanisms involved with solid electrodes. Carbonaceous and metallic anode materials are then introduced, followed by an explanation of the electro catalysis of the oxygen reduction reaction and its behavior in neutral media, from recent studies. Cathode catalysts based on carbonaceous, platinum-group metal and platinum-group-metal-free materials are presented, along with membrane materials with a view to future directions. Finally, microbial fuel cell practical implementation, through the utilization of energy output for practical applications, is described.",225,244,Journal of power sources,356,NA,,10.1016/j.jpowsour.2017.03.109,Santoro
10,JOUR,"['Hou, Junxian; Liu, Zhongliang; Zhang, Pei-Yuan']",A new method for fabrication of graphene/polyaniline nanocomplex modified microbial fuel cell anodes,2013,NA,139,144,Journal of Power Sources,224,NA,,10.1016/j.jpowsour.2012.09.091,Hou
11,JOUR,"['Guo, Wei; Cui, Yanrui; Song, Hong; Sun, Jianhui']",Layer-by-layer construction of graphene-based microbial fuel cell for improved power generation and methyl orange removal,2014,NA,1749,1758,Bioprocess and biosystems engineering,37,9,,10.1007/s00449-014-1148-y,Guo
12,JOUR,"['Chen, Bor-Yann; Zhang, Meng-Meng; Chang, Chang-Tang; Ding, Yongtao; Lin, Kae-Long; Chiou, Chyow-San; Hsueh, Chung-Chuan; Xu, Hui-Zhong']",Assessment upon azo dye decolorization and bioelectricity generation by Proteus hauseri.,2010,NA,4737,4741,Bioresource technology,101,12,,10.1016/j.biortech.2010.01.133,Chen
13,JOUR,"['Kabutey, Felix Tetteh; Ding, Jing; Zhao, Qingliang; Antwi, Philip; Quashie, Frank Koblah; Tankapa, Vietus; Zhang, Weixian']",Pollutant removal and bioelectricity generation from urban river sediment using a macrophyte cathode sediment microbial fuel cell (mSMFC).,2019,NA,241,251,"Bioelectrochemistry (Amsterdam, Netherlands)",128,NA,,10.1016/j.bioelechem.2019.01.007,Kabutey
14,JOUR,"['Pareek, Alka; Sravan, J. Shanthi; Mohan, S. Venkata']",Fabrication of three-dimensional graphene anode for augmenting performance in microbial fuel cells,2019,"Abstract In the present work, we have reported the synthesis of 3D graphene structures by simple chemical reduction method for application in microbial fuel cell (MFC) as an anode. The synthesis procedure includes synthesis of graphene oxide by modified Hummers method followed by simultaneous reduction of graphene oxide and the formation of hydrogels. The 3D graphene structures are characterized using X-ray diffraction and Raman spectroscopy techniques. Electrochemical characterization is carried out to study the capacitive properties and impedance studies of electrodes in conductive electrolyte. 3D graphene electrodes show remarkably high capacitive current, charge storage and lower charge transfer resistance as estimated through cyclic voltammetry and Nyquist plots. In order to evaluate the performance of 3D graphene electrodes in MFC, power density and polarization curves are recorded in three configurations by varying terminal electron acceptors (TEA) viz., dissolved oxygen (MFC-DO), potassium ferricyanide and MFC without TEA (MFC-NDO). 3D graphene electrodes exhibits maximum power density of 0.49 mW/m2 in potassium ferricyanide followed by MFC-DO (0.36 mW/m2) and MFC-NDO (0.34 mW/m2). Present work highlights the viability of chemically synthesized 3D graphene electrodes as an efficient anode material in MFC.",134,140,Carbon Resources Conversion,2,2,,10.1016/j.crcon.2019.06.003,Pareek
15,JOUR,"['Deng, Qian; Li, Xinyang; Zuo, Jiane.; Ling, Alison; Logan, Bruce E.']",Power generation using an activated carbon fiber felt cathode in an upflow microbial fuel cell,2010,NA,1130,1135,Journal of Power Sources,195,4,,10.1016/j.jpowsour.2009.08.092,Deng
