Type of Material,Anode ,Size of Anode,Surface Area of Anode cm2,Inoculum Source/,Power Density mw/m2,Title,DOI,Year
Carbon-based,Carbon Cloth,,,Innoculum Source,28.0,Full-loop operation and cathodic acidification of a microbial fuel cell operated on domestic wastewater,10.1016/j.biortech.2011.02.098,2011
Carbon-based,Graphite Rod and Carbon Cloth,,,Domestic wastewater,229.0,Power recovery with multi-anode/cathode microbial fuel cells suitable for future large-scale applications,10.1016/j.ijhydene.2010.04.136,2010
Carbon-based,Graphite Rod and Carbon Cloth,,,Domestic wastewater,1200.0,A pilot-scale study on utilizing multi-anode/cathode microbial fuel cells (MAC MFCs) to enhance the power production in wastewater treatment,10.1016/j.ijhydene.2010.08.074,2011
Carbon-based,Graphite Felt,,,Domestic wastewater,149.0,Electricity generation and microbial community in a submerged-exchangeable microbial fuel cell system for low-strength domestic wastewater treatment,10.1016/j.biortech.2012.04.078,2012
Carbon-based,Graphite Felt,,,Domestic wastewater,3.226,Scalable microbial fuel cell (MFC) stack for continuous real wastewater treatment,10.1016/j.biortech.2011.11.019,2012
Carbon-based,Graphite Felt,,,Swine wastewater,0.097,Long-term evaluation of a 10-liter serpentine-type microbial fuel cell stack treating brewery wastewater,10.1016/j.biortech.2012.07.038,2012
Carbon-based,Carbon Brush,,,Malt wastewater,4.71,In situ investigation of tubular microbial fuel cells deployed in an aeration tank at a municipal wastewater treatment plant,10.1016/j.biortech.2013.02.107,2013
Carbon-based,Carbon Brush,,,Domestic wastewater,14.61,Long-term performance of liter-scale microbial fuel cells treating primary effluent installed in a municipal wastewater treatment facility,10.1021/es400631r,2013
Carbon-based,Carbon Brush,,,Domestic wastewater,14.5,A horizontal plug flow and stackable pilot microbial fuel cell for municipal wastewater treatment,10.1016/j.biortech.2013.12.104,2014
Carbon-based,Carbon Brush,,,Domestic wastewater,159.0,A 90-liter stackable baffled microbial fuel cell for brewery wastewater treatment based on energy self-sufficient mode,10.1016/j.biortech.2015.06.026,2015
Carbon-based,Carbon Brush,,,Malt wastewater,17.25,Energy extraction from a large-scale microbial fuel cell system treating municipal wastewater,10.1016/j.jpowsour.2015.07.105,2015
Carbon-based,Carbon Brush,,,Domestic wastewater,1100.0,Microbial fuel cells with an integrated spacer and separate anode and cathode modules,No DOI,2016
Carbon-based,Carbon Brush,,,Domestic wastewater,1.61,Long-term performance of a 20-L continuous flow microbial fuel cell for treatment of brewery wastewater,10.1016/j.jpowsour.2017.03.132,2017
Composite,Granullar Carbon with a Titanium Core,,,Domestic wastewater,25.0,A novel pilot-scale stacked microbial fuel cell for efficient electricity generation and wastewater treatment,10.1016/j.watres.2016.04.043,2016
Carbon-based,Carbon Brush,,,Domestic wastewater,3.2,Ceramic Microbial Fuel Cells Stack: power generation in standard and supercapacitive mode,10.1038/s41598-018-21404-y,2018
Carbon-based,Activated Carbon,,,Municipal Sewage,0.42,One-year operation of 1000-L modularized microbial fuel cell for municipal wastewater treatment,10.1016/j.watres.2018.04.066,2018
