Type of Material,Anode ,Size of Anode,Surface Area of Anode cm2,Inoculum Source/,Power Density mw/m2,Title,DOI,Year
Carbon-based,Carbon Cloth,,,Innoculum Source,28.0,Full-loop operation and cathodic acidification of a microbial fuel cell operated on domestic wastewater,10.1016/j.biortech.2011.02.098,2011
Carbon-based,Graphite Rod and Carbon Cloth,,,Domestic waste,229.0,Power recovery with multi-anode/cathode microbial fuel cells suitable for future large-scale applications,10.1016/j.ijhydene.2010.04.136,2010
Carbon-based,Graphite Rod and Carbon Cloth,,,Domestic waste,1200.0,A pilot-scale study on utilizing multi-anode/cathode microbial fuel cells (MAC MFCs) to enhance the power production in wastewater treatment,10.1016/j.ijhydene.2010.08.074,2011
Carbon-based,Graphite Felt,,,Domestic waste,149.0,Electricity generation and microbial community in a submerged-exchangeable microbial fuel cell system for low-strength domestic wastewater treatment,10.1016/j.biortech.2012.04.078,2012
Carbon-based,Graphite Felt,,,Domestic waste,3.226,Scalable microbial fuel cell (MFC) stack for continuous real wastewater treatment,10.1016/j.biortech.2011.11.019,2012
Carbon-based,Graphite Felt,,,Swine wastewater,0.097,Long-term evaluation of a 10-liter serpentine-type microbial fuel cell stack treating brewery wastewater,10.1016/j.biortech.2012.07.038,2012
Carbon-based,Carbon Brush,,,Malt wastewater,4.71,In situ investigation of tubular microbial fuel cells deployed in an aeration tank at a municipal wastewater treatment plant,10.1016/j.biortech.2013.02.107,2013
Carbon-based,Carbon Brush,,,Domestic waste,14.61,Long-term performance of liter-scale microbial fuel cells treating primary effluent installed in a municipal wastewater treatment facility,10.1021/es400631r,2013
Carbon-based,Carbon Brush,,,Domestic waste,14.5,A horizontal plug flow and stackable pilot microbial fuel cell for municipal wastewater treatment,10.1016/j.biortech.2013.12.104,2014
Carbon-based,Carbon Brush,,,Domestic waste,159.0,A 90-liter stackable baffled microbial fuel cell for brewery wastewater treatment based on energy self-sufficient mode,10.1016/j.biortech.2015.06.026,2015
Carbon-based,Carbon Brush,,,Malt wastewater,17.25,Energy extraction from a large-scale microbial fuel cell system treating municipal wastewater,10.1016/j.jpowsour.2015.07.105,2015
Carbon-based,Carbon Brush,,,Domestic waste,1100.0,Microbial fuel cells with an integrated spacer and separate anode and cathode modules,No DOI,2016
Carbon-based,Carbon Brush,,,Domestic waste,1.61,Long-term performance of a 20-L continuous flow microbial fuel cell for treatment of brewery wastewater,10.1016/j.jpowsour.2017.03.132,2017
Composite,Granullar Carbon with a Titanium Core,,,Domestic waste,25.0,A novel pilot-scale stacked microbial fuel cell for efficient electricity generation and wastewater treatment,10.1016/j.watres.2016.04.043,2016
Carbon-based,Carbon Brush,,,Domestic waste,3.2,Ceramic Microbial Fuel Cells Stack: power generation in standard and supercapacitive mode,10.1038/s41598-018-21404-y,2018
Carbon-based,Activated Carbon,,,Municipal Sewage,0.42,One-year operation of 1000-L modularized microbial fuel cell for municipal wastewater treatment,10.1016/j.watres.2018.04.066,2018
Carbon-based,Carbon Cloth,,,Vegetable Oil Industry Wastewater,6119.0,Adsorption of Cu (II) by low cost adsorbents and the cost analysis,10.1016/j.eti.2018.02.003,2018
Carbon-based,Carbon cloth,2 cm × 2 cm,4.0,S. putrefaciens CN32,679.7,L-Cysteine tailored porous graphene aerogel for enhanced power generation in microbial fuel cells,10.1039/C5RA09170E,2015
Composite,rGO/SnO2/Carbon cloth composite,3 cm × 2 cm,6.0,E. coli,1624.0,Facile microwave-assisted synthesized reduced graphene oxide/tin oxide nanocomposite and using as anode material of microbial fuel cell to improve power generation,10.1016/j.ijhydene.2014.05.008,2014
Carbon-based,Graphene,-,4.0,E. coli,2850.0,Electrochemically exfoliated graphene anodes with enhanced biocurrent production in single-chamber air-breathing microbial fuel cells,10.1016/j.bios.2016.02.054,2016
Composite,r GO/PPy,1 cm × 1.5 cm,,E. coli,1068.0,"Synthesis, structural, and morphological characterizations of reduced graphene oxide-supported polypyrrole anode catalysts for improved microbial fuel cell performances",10.1021/sc500244f,2014
Carbon-based,Graphene coating on Carbon cloth,1 cm × 2 cm,4.0,P. aeruginosa,52.5,Graphene/carbon cloth anode for high-performance mediatorless microbial fuel cells,10.1016/j.biortech.2012.02.116,2012
Carbon-based,Graphene oxide modification with carbon paper,5 × 3 cm2,,Anaerobic Sludge,368.0,Layer-by-layer construction of graphene-based microbial fuel cell for improved power generation and methyl orange removal,10.1007/s00449-014-1148-y,2014
Composite,Polyaniline (PANI) networks onto graphene nanoribbons (GNRs)-coated on carbon paper (CP/GNRs/PANI),2 cm × 2 cm,4.0,S. oneidensis MR-1,856.0,Antibacterial activity of graphene-modified anode on Shewanellaoneidensis MR-1 biofilm in microbial fuel cell,10.1016/j.jpowsour.2015.03.033,2015
Carbon-based,Graphene nanosheet coating on carbon paper,-,,S. oneidensis MR-1,610.0,Silver/iron oxide/graphitic carbon composites as bacteriostatic catalysts for enhancing oxygen reduction in microbial fuel cells,10.1016/j.jpowsour.2015.02.100,2015
